"","YearDecimal","Latitude30value","Latitude30uncertainty","Latitude33value","Latitude33uncertainty","Latitude37value","Latitude37uncertainty","Latitude41value","Latitude41uncertainty","Latitude44value","Latitude44uncertainty","Latitude49value","Latitude49uncertainty","Latitude53value","Latitude53uncertainty","Latitude58value","Latitude58uncertainty","Latitude64value","Latitude64uncertainty","Latitude72value","Latitude72uncertainty","Latitude90value","Latitude90uncertainty"
"454",1988.4375,354.036,0.393,353.68,0.377,353.441,0.346,353.44,0.369,353.712,0.451,354.189,0.518,354.746,0.515,355.272,0.439,355.701,0.327,356.013,0.236,356.223,0.211
"455",1988.458333,353.662,0.411,353.258,0.384,352.916,0.332,352.756,0.331,352.839,0.397,353.139,0.464,353.579,0.474,354.069,0.418,354.534,0.327,354.922,0.25,355.215,0.227
"456",1988.479167,353.274,0.435,352.828,0.391,352.367,0.32,352.011,0.303,351.846,0.374,351.904,0.459,352.166,0.492,352.575,0.455,353.047,0.371,353.497,0.286,353.865,0.245
"457",1988.5,352.854,0.466,352.366,0.404,351.777,0.319,351.197,0.311,350.744,0.413,350.511,0.528,350.547,0.581,350.834,0.549,351.282,0.452,351.771,0.338,352.2,0.268
"458",1988.520833,352.378,0.501,351.847,0.422,351.125,0.331,350.315,0.352,349.559,0.495,349.014,0.638,348.8,0.702,348.935,0.662,349.329,0.54,349.83,0.393,350.298,0.292
"459",1988.541667,351.829,0.533,351.255,0.441,350.41,0.35,349.386,0.402,348.35,0.576,347.511,0.739,347.05,0.805,347.023,0.753,347.341,0.607,347.827,0.432,348.306,0.308
"460",1988.5625,351.214,0.553,350.6,0.451,349.654,0.363,348.459,0.437,347.196,0.631,346.116,0.802,345.444,0.865,345.265,0.8,345.494,0.639,345.939,0.447,346.401,0.311
"461",1988.583333,350.553,0.559,349.906,0.452,348.896,0.365,347.592,0.448,346.185,0.646,344.946,0.814,344.124,0.869,343.823,0.797,343.962,0.629,344.345,0.433,344.765,0.296
"462",1988.604167,349.88,0.553,349.218,0.446,348.187,0.356,346.853,0.433,345.402,0.62,344.105,0.774,343.212,0.819,342.831,0.743,342.888,0.58,343.195,0.393,343.552,0.262
"463",1988.625,349.318,0.548,348.66,0.43,347.649,0.327,346.35,0.386,344.939,0.553,343.673,0.687,342.784,0.722,342.367,0.648,342.358,0.499,342.586,0.331,342.869,0.214
